Session,prefix,Gorilla Protocol names,UniqueName,EN-GB,IT,FR,FR_redirect,TR,CA-FR,JP,DE,US-CAN,IN,IN_redirect,IN_short,CO,CO_Short,GR,AR,AR-Qu-01,AR-Tasks-1,AR-Qu-02,AR-Tasks-2,questionnaire or task name,JP_C2
Control,task-,SelfPreference,SC_SelfPref_r2,NA,xwfu,xwfu,NA,xwfu,NA,xwfu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xwfu
Control,task-,1back_SS_nback2,SC_1back_r2,NA,4vn8,4vn8,NA,4vn8,NA,4vn8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4vn8
Control,task-,3back_SS_nback1,SC_3back_r2,NA,56og,56og,NA,56og,NA,56og,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56og
Control,checkpoint,Control_Tasks_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control,task-,3back_SS_nback3,SC_3back_r3,NA,x1k6,am86,NA,x1k6,NA,x1k6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x1k6
Control,task-,Tapping,SC_Tapping_r3,NA,bw96,h194,NA,bw96,NA,bw96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bw96
Control,task-,Duration_Production_Metacog,SC_Metacog_r3,NA,p6qp,cthv,NA,p6qp,NA,p6qp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p6qp
Control,task-,1back_SS_nback3,SC_1back_r3,NA,kqxx,eqq7,NA,kqxx,NA,kqxx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kqxx
Control,task-,ImplicitTiming,SC_Implicit_r3,NA,np3t,gvnk,NA,np3t,NA,np3t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,np3t
Control,task-,SelfPreference,SC_SelfPref_r3,NA,d8cr,5nlh,NA,d8cr,NA,d8cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d8cr
Control,task-,Tapping_Visual,SC_TapVis_r3,NA,pj65,n5j9,NA,pj65,NA,pj65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pj65
Control,task-,DelayDiscount,SC_DelayDiscount_r3,NA,ed38,rwd6,NA,ed38,NA,ed38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ed38
Control,questionnaire-,Session5_CTRL_END,SC_END,NA,7zsd,7zsd,NA,7zsd,NA,7zsd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7zsd
Control,checkpoint,Control_END,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
